	beer_name	abv	brewery	type
0	Darkness - High West Rye Whiskey Barrel Aged (2015)	12.00	Surly Brewing Company	Russian Imperial Stout
1	Carnegie Porter 5,5%	5.50	Carlsberg Sverige AB	Baltic Porter
2	London Porter	6.50	Meantime Brewing Company Limited	English Porter
3	Port Barrel Aged Abduction	13.00	Pipeworks Brewing Company	American Imperial Stout
4	Echoes From The Well	8.50	LIC Beer Project	American Imperial IPA
5	Deep Rooted	7.10	Kane Brewing Company	American IPA
6	Serenata Notturna	12.00	Crooked Stave Artisan Beer Project	American Wild Ale
7	Mozzie Juice	6.20	MoMac Brewing	American IPA
8	Slippery Slope Ale	6.40	Cascade Lakes Brewing Co.	Winter Warmer
9	Saison VOS	6.90	Sly Fox Brewing Company	Belgian Saison
10	Dank Sinatra	6.00	Pressure Drop Brewing	New England IPA
11	Yup/Nope	8.00	Kinsmen Brewing Company	American Imperial IPA
12	Pugnacious Pale Ale	4.50	Grand River Brewing	American Pale Ale (APA)
13	Standard Issue	3.80	Central Standard Brewing	Belgian Saison
14	Dialed In (w/ Pinot Gris Juice)	8.50	Trillium Brewing Company	American Imperial IPA
15	Winter Galley	10.50	Lost Tavern Brewing	Russian Imperial Stout
16	First Drop	5.90	Upper Pass Beer Company	American Pale Ale (APA)
17	9675-Tree	10.80	Maui Brewing Co.	American Imperial IPA
18	Narwhal Imperial Stout - Barrel-Aged With Coffee	13.00	Sierra Nevada Brewing Co.	American Imperial Stout
19	Fresh IPA	6.40	Fort George Brewery + Public House	American IPA
20	Cellar Club #03: Barrel Aged Brett Sour	4.50	Two Brothers Brewing Company	American Wild Ale
21	Pasteur Le Fleur	8.70	Exile Brewing Co.	Belgian Saison
22	NCVA	9.60	Rotunda Brewing Co.	American Imperial IPA
23	Aleksandrapol	4.50	Shirak Manufacturers	European Pale Lager
24	Zwickerla Helles Lager	5.20	Fat Head's Brewery & Saloon	German Helles
25	Outlaw IPA	6.30	Two Brothers Brewing Company	American IPA
26	Lame Duck	?	11 Below Brewing	American Pale Ale (APA)
27	Lorelai	7.40	Stone City Ales	Flanders Red Ale
28	Social Distortion	5.60	Torrside Brewing	American Pale Ale (APA)
29	Pilsner	5.00	Steamworks Brewing Company	Bohemian Pilsener
30	The Angel's Share - Bourbon Barrel-Aged	12.50	The Lost Abbey	American Strong Ale
31	Interboro / Creature Comforts - More Juice than Zeus	4.00	Interboro Spirits and Ales	Berliner Weisse
32	Blue Goat Doppelbock	6.90	New Holland Brewing Company	German Doppelbock
33	Barleywine	10.10	Oakshire Brewing	American Barleywine
34	Never Never Forever Forever	5.10	The Veil Brewing Co.	Leipzig Gose
35	Is This It	6.00	Cloudburst Brewing	American Pale Ale (APA)
36	French Toast	11.00	Hubbard's Cave Brewery	American Imperial Stout
37	The Jewels	7.50	Hop Butcher For The World	American Imperial IPA
38	Side Launch Huronic	8.00	Side Launch Brewing Company	Belgian Tripel
39	Headroom	8.00	Trillium Brewing Company	New England IPA
40	T.O.R.I.S. The Tyrant	13.80	Hoppin' Frog Brewery	Russian Imperial Stout
41	The Astounding She-Monster Mango I.P.A.	7.00	Spring House Brewing Company	American IPA
42	The Kriek	7.00	de Garde Brewing	American Wild Ale
43	Orbital Tilt - Vic Secret	5.90	Captain Lawrence Brewing Co.	American IPA
44	Seonaidh	9.90	Czig Meister Brewing Company	Scotch Ale / Wee Heavy
45	300 Mosaic India Pale Ale	7.00	Fulton Beer	American IPA
46	DBR	14.50	Cycle Brewing	American Imperial Stout
47	Smoked Porter - Chipotle Peppers	5.90	Stone Brewing	Smoke Porter
48	Chicka Chicka Yeah	5.00	Odd Side Ales	Belgian Witbier
49	Jacobins Prestige	6.60	Brouwerij Bockor N.V. / Brouwerij Omer Vander Ghinste	Belgian Lambic
50	Whatever, Nevermind	8.10	Tired Hands Brewing Company	Belgian Saison
51	Kemphaan Weerwater	7.00	Brouwerij De Kemphaan	American Amber / Red Ale
52	Path Of Yeast Resistance	6.90	Offshoot Beer Co.	American IPA
53	Port Omna - Coconut And Lactose	6.60	Kane Brewing Company	American Stout
54	Sleepy Bison Brown Ale	5.20	Banff Ave. Brewing Co.	English Brown Ale
55	Look No Further	5.30	Suarez Family Brewery	American Pale Ale (APA)
56	Imperial Cherry Marion Bu	?	de Garde Brewing	Berliner Weisse
57	Lee Hill Series Vol. 12 - Barrel Aged Imperial Stout With Coffee	10.80	Upslope Brewing Company - Lee Hill	American Imperial Stout
58	Double Jeopardy	10.50	Scofflaw Brewing Company	American Imperial IPA
59	Brau Werk Hausmarke 2 Session IPA	4.30	Ottakringer Brauerei AG	American IPA
60	Ella Pilsner	6.10	Port Orleans Brewing Co.	Bohemian Pilsener
61	Javanog Cream Stout	8.20	Haw River Farmhouse Ales	English Sweet / Milk Stout
62	Kryptonite Double IPA	7.20	Iron Hill Brewery & Restaurant	American Imperial IPA
63	Wood-n-Tap Hop Evolution 1.0	8.00	Relic Brewing Co.	American Imperial IPA
64	Blue Moon Mountain Abbey Ale	5.60	Coors Brewing Company (Molson-Coors)	American Brown Ale
65	Extinction Event Cashmere Mosaic	6.20	Confluence Brewing Company	New England IPA
66	Black Butte XXIV	11.00	Deschutes Brewery	American Imperial Porter
67	B.O.R.I.S. The Crusher - Reserve	9.40	Hoppin' Frog Brewery	Russian Imperial Stout
68	Scorpion Bowl IPA	7.50	Stone Brewing	American IPA
69	Legally Red IPA	6.60	Second Chance Beer Company	American IPA
70	Passion Project Farm To Barrel	6.50	Almanac Beer Co.	American Wild Ale
71	Chub Step	6.00	Half Acre Beer Company	American Porter
72	Best Kept Secret	8.30	More Brewing Co.	American Imperial IPA
73	Sheepshead	6.00	Milwaukee Brewing Company	English Oatmeal Stout
74	Blonde Lager	4.80	Rahr & Sons Brewing Company	German Helles
75	Marks and Spencer American Pale Ale	4.80	Arbor Ales	American Pale Ale (APA)
76	Distortion	5.80	Tin Whiskers Brewing Company	American IPA
77	Fentimans Traditional Ginger Beer	0.50	Fentimans Ltd.	Herb and Spice Beer
78	Playcation #01	8.50	Hopworks Urban Brewery	American IPA
79	Ripe IPA	6.00	Great Notion Brewing	New England IPA
80	Grim Arcana	7.90	Able Seedhouse + Brewery	American Brown Ale
81	New World Porter	6.70	Avery Brewing Company	American Porter
82	B-Sides / Tagwerk - Witbier With Quince	6.90	Beau's All Natural Brewing Company	Belgian Witbier
83	Saranac Adirondack Lager	5.50	Matt Brewing Company / Saranac Brewery	German Pilsner
84	Reko	5.70	Mystic Brewery	Belgian Saison
85	Hop House 13	5.00	Guinness Ltd.	European Pale Lager
86	Combover	6.70	Resilience Brewing	American IPA
87	Brussels Griffon	7.50	Rhinegeist Brewery	Belgian Blonde Ale 
88	Bennington	7.10	Night Shift Brewing	English Oatmeal Stout
89	Terrapin Side Project #28: Smoke On The Porter	8.50	Terrapin Beer Company	Baltic Porter
90	Barrel Aged Dark Matter	10.00	Rocket Republic Brewing Company	Belgian Strong Dark Ale
91	Never & Again	8.50	Trillium Brewing Company	American Imperial IPA
92	Evil Twin / Omnipollo - Old Fashioned Lemonade IPA	7.00	Evil Twin Brewing	American IPA
93	New England Style IPA - Drama Juice	7.00	Epic Brewing Company	New England IPA
94	Peanut Butter & Jelly Mamoot	?	Logboat Brewing Co.	English Dark Mild Ale
95	Superhop IPA	6.00	Stillwater Artisanal Ales	American IPA
96	Intergalactic NE DIPA	8.20	Lead Dog Brewing	American Imperial IPA
97	Vintage Ale	6.90	The Collingwood Brewery	American Strong Ale
98	Bobblehead Red	8.00	Coronado Brewing Company	American IPA
99	Danger Doe Doppel	9.00	Two Goats Brewing	German Doppelbock
100	Monkish / Cloudwater - Wrap Your Troubles In Dreams	8.80	Monkish Brewing Co.	American Imperial IPA
101	Ticket To The Stars	12.00	Ground Zero Beer	Russian Imperial Stout
102	Squishee: Cherry Tangerine	4.50	Light the Lamp Brewery	Fruit and Field Beer
103	Inkwell	8.00	Muddy York Brewing Co.	American Imperial Stout
104	Kapittel Blond	6.50	Leroy Breweries	Belgian Blonde Ale 
105	India Pale Ale	5.50	Double Wing Brewing Co.	American IPA
106	Pie vs Pie	11.70	Bottle Logic Brewing	American Imperial Stout
107	Infinite Pursuit	7.20	Urbanrest Brewing Company	American Imperial IPA
108	Here Kitty Kitty	12.00	J. Wakefield Brewing	American Imperial Stout
109	Nowhere But Texas	4.20	Legal Draft Beer Company	American Lager
110	Jazz	6.80	Fretboard Brewing Company	American Stout
111	Black & Cran	9.00	Atwater Brewery	American Imperial Stout
112	Dock Time	4.80	Stony Creek Brewery	American Amber / Red Lager
113	Enjoy By Black IPA	9.40	Stone Brewing	American Black Ale
114	Reindeer Slayer	8.50	Thomas Hooker Brewing Company	American Imperial Stout
115	Sorbet	6.50	Aslin Beer Company	American IPA
116	Yelling At Clouds	?	Bottle Logic Brewing	New England IPA
117	Creature From the Alegae Blooms	7.20	Maumee Bay Brewing Company	American Wild Ale
118	Everleigh	6.00	Vice District Brewing Company	English Extra Special / Strong Bitter (ESB)
119	Mosaic Double Crush	8.50	Moonraker Brewing Company	American Imperial IPA
120	Little Birdy	7.00	Zero Gravity Craft Brewery / American Flatbread	American IPA
121	Fresh Hop Pale Ale	6.10	Great Divide Brewing Company	American Pale Ale (APA)
122	"Hefe ""R"" Weissen"	5.70	Millstream Brewing Company	German Hefeweizen
123	Precept	5.60	Bissell Brothers Brewing Co.	German Pilsner
124	Pineapple Sour	4.80	TailGate Beer	Berliner Weisse
125	Northern Hawk Owl	5.80	Right Brain Brewery	American Amber / Red Ale
126	Recertified	8.00	Brew Gentlemen	American Imperial IPA
127	Fohrenburger Jubiläum	5.50	Brauerei Fohrenburg GmbH & Co	European Pale Lager
128	Luchesa Lager	4.80	Oasis Texas Brewing Company	German Kellerbier / Zwickelbier
129	#96 Watermelon Sour Wheat Ale	8.50	Venn Brewing Co.	American Pale Wheat Ale
130	Apple Brandy Barrel-Aged El Lechedor (2018)	10.50	Night Shift Brewing	English Sweet / Milk Stout
131	Chasing Rainbows	5.80	Bearded Iris Brewing	American IPA
132	Saranac Tramonay Rouge	8.00	Matt Brewing Company / Saranac Brewery	Belgian Saison
133	Mom Jeans	8.00	Hoof Hearted Brewing	American Stout
134	The Farm	9.80	Martin House Brewing Company	Belgian Saison
135	Long Pine Pale Ale	5.20	Red Clay Brewing Company	American Pale Ale (APA)
136	Kickin’ Knowledge	7.00	Barrier Brewing Company	New England IPA
137	Lot No3 IPA - Citra Dry-Hopped	6.80	Evolution Craft Brewing Company	American IPA
138	Dark Theory	7.50	Odell Brewing Company	American Wild Ale
139	Fresh Fluff IPA	6.20	Matchless Brewing	American IPA
140	Into The Light	8.00	Lasting Brass Brewing Company	American Imperial IPA
141	I Don't Have a Red Shrimp	4.60	Mikkeller ApS	German Pilsner
142	Madness & Civilization #8	?	Hill Farmstead Brewery	American Imperial Stout
143	Thumbprint Cran-Bic	6.00	New Glarus Brewing Company	Belgian Fruit Lambic
144	Lakewood The Temptress	9.10	Lakewood Brewing Company	English Sweet / Milk Stout
145	Tower 10 IPA	6.50	Karl Strauss Brewing Company	American IPA
146	Second Breakfast	7.30	Wicked Weed Brewing	English Brown Ale
147	Brain Food	7.50	Variant Brewing Company	American IPA
148	Maneki Neko	4.50	Noctem Artisans Brasseurs	American Pale Ale (APA)
149	Filou	8.50	Brouwerij Van Honsebrouck N.V.	Belgian Strong Pale Ale
150	Blueberry Imperial Puffsicle	6.50	The Answer Brewpub	Leipzig Gose
151	Harvest	6.50	Oxbow Brewing Company	Belgian Saison
152	Weyerbacher Wit	4.60	Weyerbacher Brewing Co.	Belgian Witbier
153	Brick Kiln - Bourbon Barrel-Aged	11.80	Jackie O's Pub & Brewery	British Barleywine
154	Outlaw: Mosaic	6.30	Two Brothers Brewing Company	American IPA
155	Cocoa Bourbon Nibbler Cream Stout	8.50	Dark Horse Brewing Company	English Sweet / Milk Stout
156	Moments of Constricted Psychic Expansion	8.10	Tired Hands Brewing Company	American Imperial IPA
157	Tranquil Pils	5.20	Foam Brewers	German Pilsner
158	The Duke	5.30	Hopsters Brewing Company	American IPA
159	J.R.E.A.M. - Double Blueberry Strawberry	7.00	Burley Oak Brewing Co.	American Wild Ale
160	Saison 1900	6.70	Brasserie Lefèbvre SA	Belgian Saison
161	Grinding Stone	5.60	Morgan Territory Brewing	English Oatmeal Stout
162	Guinness The 1759	9.00	Guinness Ltd.	American Strong Ale
163	Dairyland Special	7.00	Martin House Brewing Company	American IPA
164	Rum Cask Oak Aged Beer	6.80	Innis & Gunn	Scotch Ale / Wee Heavy
165	IPA	7.50	A1A Aleworks	American IPA
166	Hopcloud	7.10	Opposition Brewing Co.	American IPA
167	Neighborino	?	Triptych Brewing	German Pilsner
168	Black Tuesday	19.50	The Bruery	American Imperial Stout
169	Smokey Coal Yard	5.60	1905 Brewing Company	Smoke Porter
170	Hippo's Hand Double India Pale Ale	9.00	River Horse Brewing Co.	American Imperial IPA
171	Ms. Violet	9.00	To Øl	Belgian Tripel
172	Kellerweis	4.80	Sierra Nevada Brewing Co.	German Hefeweizen
173	Pancake Party	12.00	Surly Brewing Company	Russian Imperial Stout
174	Modelo Especial	4.40	Grupo Modelo S.A. de C.V.	American Adjunct Lager
175	Lady In White	5.00	The Oozlefinch Craft Brewery	German Hefeweizen
176	Pumpkin Spice Latte (Nitrogen Charged Pumpkin Coffee Stout)	5.50	Breckenridge Brewery	Pumpkin Beer
177	Trappist Westvleteren Blond	5.80	Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)	Belgian Blonde Ale 
178	Double Splash	8.00	Marz Community Brewing	American Imperial IPA
179	Curmudgeon's Better Half	12.70	Founders Brewing Company	English Old Ale
180	Contains Nuts #3 - Coconut & Peanuts	7.70	Cellarmaker Brewing Co.	American Strong Ale
181	Galaxy Park	4.70	Fort Point Beer Company	American Pale Wheat Ale
182	10-10-10 IPA (Bourbon Barrel Aged)	10.00	Swamp Head Brewery	American Imperial IPA
183	Very Best Bad Things	8.00	Barebottle Brewing Company	American Imperial IPA
184	Saison M	7.10	Jolly Pumpkin Artisan Ales	Belgian Saison
185	Hazed & Confused	6.50	Pinthouse Pizza Craft Brewpub	American IPA
186	Summer Wit	4.40	Royal Oak Brewery	Belgian Witbier
187	Holy Trinity 3IPA	11.40	Venn Brewing Co.	American Imperial IPA
188	Ophelia Hoppy Wheat Ale	5.00	Breckenridge Brewery	American Pale Wheat Ale
189	Infinite Wishes - Bourbon Barrel-Aged	12.80	Smog City Brewing	American Imperial Stout
190	Lock Porter	6.00	Big Ditch Brewing Company	American Porter
191	Bourbon County Brand Coffee Stout	12.90	Goose Island Beer Co.	American Imperial Stout
192	Sudwerk Doppel Bock	8.00	Sudwerk Brewing Company	German Doppelbock
193	Citra In Helles	?	Triptych Brewing	German Helles
194	21st Anniversary Ale	?	Brewery Ommegang	Belgian Saison
195	Maggie's Irish Ale	5.60	Saugatuck Brewing Company	Irish Red Ale
196	Blood Orange Rustler IPA	6.20	Payette Brewing	American IPA
197	Professor Plum, In The Brewhouse, With The Mash Paddle	11.00	Elmhurst Brewing Co.	French Bière de Garde
198	Momentary Master - Double Dry-Hopped	8.50	Magnify Brewing Company	American Imperial IPA
199	Softly Spoken Lies - Bourbon Barrel-Aged	12.00	Mikerphone Brewing	American Imperial Stout
200	Chocolate Salty Christmas Balls	10.00	Cervisiam Bryggeri	American Imperial Stout
201	Oktoberfest	6.00	Hinterland Brewery Restaurant	Vienna Lager
202	Rum Barrel Brown	6.50	Legend Brewing Co.	American Brown Ale
203	1927 Pilsner	5.00	Greenport Harbor Brewing Company	American Lager
204	Ode To Blumpy	7.00	Thomas Hooker Brewing Company	American IPA
205	Suburban Beverage	4.20	Perennial Artisan Ales	Leipzig Gose
