	UID	beer_name	rating
0	1	97 Feet	4.18
2682	1	Barrel Runner	4.08
2736	55	Barrel Runner	3.59
2778	97	Barrel Runner	3.82
2785	104	Barrel Runner	3.94
2797	116	Barrel Runner	4.0
2815	134	Barrel Runner	3.79
2839	158	Barrel Runner	3.41
2895	214	Barrel Runner	3.5
2910	229	Barrel Runner	3.08
2919	238	Barrel Runner	3.78
2922	241	Barrel Runner	4.63
2928	247	Barrel Runner	3.73
2982	301	Barrel Runner	3.77
2991	310	Barrel Runner	2.11
3092	411	Barrel Runner	4.04
3166	485	Barrel Runner	3.83
3188	507	Barrel Runner	3.62
3228	547	Barrel Runner	2.55
3231	550	Barrel Runner	3.57
3290	609	Barrel Runner	3.5
3389	708	Barrel Runner	3.91
3470	789	Barrel Runner	4.1
3493	812	Barrel Runner	3.84
3581	900	Barrel Runner	3.18
3597	916	Barrel Runner	1.97
3608	927	Barrel Runner	2.75
3642	961	Barrel Runner	3.53
3705	1024	Barrel Runner	2.76
3796	1115	Barrel Runner	3.67
3844	1163	Barrel Runner	3.38
3924	1243	Barrel Runner	4.25
4027	1346	Barrel Runner	4.09
4078	1397	Barrel Runner	3.65
4184	1503	Barrel Runner	3.62
4190	1509	Barrel Runner	4.0
4219	1538	Barrel Runner	4.04
4276	1595	Barrel Runner	3.73
4313	1632	Barrel Runner	3.44
4371	1690	Barrel Runner	4.6
4372	1691	Barrel Runner	3.57
4390	1709	Barrel Runner	4.67
4427	1746	Barrel Runner	4.24
4440	1759	Barrel Runner	4.0
4528	1847	Barrel Runner	3.73
4561	1880	Barrel Runner	4.3
4583	1902	Barrel Runner	4.23
4717	2036	Barrel Runner	3.96
4718	2037	Barrel Runner	4.07
4723	2042	Barrel Runner	3.77
4746	2065	Barrel Runner	3.27
4756	2075	Barrel Runner	4.24
4781	2100	Barrel Runner	3.73
4798	2117	Barrel Runner	3.8
4802	2121	Barrel Runner	3.62
4810	2129	Barrel Runner	1.25
4964	2283	Barrel Runner	3.91
4994	2313	Barrel Runner	4.21
5121	2440	Barrel Runner	4.34
5146	2465	Barrel Runner	3.68
5150	2469	Barrel Runner	2.5
5165	2484	Barrel Runner	4.14
5181	2500	Barrel Runner	2.95
5228	2547	Barrel Runner	4.5
5364	1	Blah Blah Blah IPA	4.08
5970	607	Blah Blah Blah IPA	3.77
6153	790	Blah Blah Blah IPA	4.21
7018	1655	Blah Blah Blah IPA	4.03
7109	1746	Blah Blah Blah IPA	3.87
7215	1852	Blah Blah Blah IPA	3.72
7847	2484	Blah Blah Blah IPA	4.0
8046	1	Bomb!	4.43
8060	15	Bomb!	5.0
8076	31	Bomb!	4.0
8097	52	Bomb!	4.11
8253	208	Bomb!	4.48
8371	326	Bomb!	4.5
8377	332	Bomb!	4.5
8440	395	Bomb!	4.73
8456	411	Bomb!	4.71
8465	420	Bomb!	4.67
8539	494	Bomb!	4.52
8597	552	Bomb!	4.09
8600	555	Bomb!	4.5
8604	559	Bomb!	4.75
8637	592	Bomb!	4.6
8763	718	Bomb!	4.05
8853	808	Bomb!	4.81
8904	859	Bomb!	4.52
8936	891	Bomb!	4.5
8978	933	Bomb!	4.54
8981	936	Bomb!	4.0
8990	945	Bomb!	4.31
8998	953	Bomb!	4.6
9010	965	Bomb!	4.45
9014	969	Bomb!	4.42
9072	1027	Bomb!	4.54
9136	1091	Bomb!	4.32
9152	1107	Bomb!	4.05
9182	1137	Bomb!	4.79
9200	1155	Bomb!	4.24
9213	1168	Bomb!	4.56
9257	1212	Bomb!	3.75
9324	1279	Bomb!	4.46
9413	1368	Bomb!	4.68
9423	1378	Bomb!	4.54
9437	1392	Bomb!	4.46
9443	1398	Bomb!	4.65
9452	1407	Bomb!	4.56
9466	1421	Bomb!	4.77
9522	1477	Bomb!	4.33
9569	1524	Bomb!	4.27
9577	1532	Bomb!	4.25
9614	1569	Bomb!	4.77
9626	1581	Bomb!	4.5
9718	1673	Bomb!	4.72
9727	1682	Bomb!	4.87
9790	1745	Bomb!	4.49
9793	1748	Bomb!	4.42
9805	1760	Bomb!	4.66
9859	1814	Bomb!	4.31
9901	1856	Bomb!	4.59
9917	1872	Bomb!	4.35
9956	1911	Bomb!	4.5
10032	1987	Bomb!	3.92
10044	1999	Bomb!	4.43
10053	2008	Bomb!	4.46
10085	2040	Bomb!	4.56
10121	2076	Bomb!	4.71
10132	2087	Bomb!	4.45
10180	2135	Bomb!	4.75
10186	2141	Bomb!	4.75
10244	2199	Bomb!	4.44
10276	2231	Bomb!	4.98
10353	2308	Bomb!	4.75
10385	2340	Bomb!	4.35
10402	2357	Bomb!	4.42
10404	2359	Bomb!	4.52
10415	2370	Bomb!	4.06
10425	2380	Bomb!	2.52
10562	2517	Bomb!	4.63
10598	2553	Bomb!	4.98
10627	2582	Bomb!	4.61
10648	2603	Bomb!	4.36
10705	2660	Bomb!	4.26
10728	1	Bride Male Order - Barrel Aged Russian Imperial Stout	4.33
13410	1	Caffè Americano	4.44
13729	320	Caffè Americano	4.1
13887	478	Caffè Americano	4.6
14071	662	Caffè Americano	4.02
14146	737	Caffè Americano	4.5
14275	866	Caffè Americano	4.27
14306	897	Caffè Americano	4.71
14620	1211	Caffè Americano	4.0
14709	1300	Caffè Americano	4.37
14741	1332	Caffè Americano	4.9
14889	1480	Caffè Americano	4.79
15017	1608	Caffè Americano	4.44
15081	1672	Caffè Americano	4.0
15135	1726	Caffè Americano	4.29
15901	2492	Caffè Americano	3.53
16031	2622	Caffè Americano	4.51
16092	1	Curmudgeon's Better Half	4.59
16104	13	Curmudgeon's Better Half	4.33
16114	23	Curmudgeon's Better Half	4.25
16147	56	Curmudgeon's Better Half	4.59
16176	85	Curmudgeon's Better Half	5.0
16189	98	Curmudgeon's Better Half	4.39
16190	99	Curmudgeon's Better Half	4.19
16207	116	Curmudgeon's Better Half	4.28
16248	157	Curmudgeon's Better Half	4.12
16260	169	Curmudgeon's Better Half	4.34
16272	181	Curmudgeon's Better Half	4.5
16281	190	Curmudgeon's Better Half	4.05
16304	213	Curmudgeon's Better Half	4.35
16320	229	Curmudgeon's Better Half	4.33
16332	241	Curmudgeon's Better Half	4.95
16334	243	Curmudgeon's Better Half	4.54
16376	285	Curmudgeon's Better Half	3.89
16382	291	Curmudgeon's Better Half	3.95
16399	308	Curmudgeon's Better Half	3.97
16425	334	Curmudgeon's Better Half	4.08
16435	344	Curmudgeon's Better Half	4.4
16464	373	Curmudgeon's Better Half	3.89
16474	383	Curmudgeon's Better Half	4.34
16482	391	Curmudgeon's Better Half	4.15
16502	411	Curmudgeon's Better Half	4.2
16509	418	Curmudgeon's Better Half	4.02
16518	427	Curmudgeon's Better Half	4.46
16534	443	Curmudgeon's Better Half	4.19
16576	485	Curmudgeon's Better Half	4.36
16598	507	Curmudgeon's Better Half	4.85
16611	520	Curmudgeon's Better Half	4.44
16629	538	Curmudgeon's Better Half	4.3
16639	548	Curmudgeon's Better Half	4.51
16645	554	Curmudgeon's Better Half	4.36
16699	608	Curmudgeon's Better Half	4.28
16700	609	Curmudgeon's Better Half	4.75
16726	635	Curmudgeon's Better Half	4.2
16798	707	Curmudgeon's Better Half	3.89
16821	730	Curmudgeon's Better Half	4.18
16847	756	Curmudgeon's Better Half	4.25
16880	789	Curmudgeon's Better Half	4.39
16898	807	Curmudgeon's Better Half	4.43
16902	811	Curmudgeon's Better Half	4.75
16972	881	Curmudgeon's Better Half	3.49
16976	885	Curmudgeon's Better Half	4.54
16990	899	Curmudgeon's Better Half	4.59
17008	917	Curmudgeon's Better Half	4.04
17020	929	Curmudgeon's Better Half	4.33
17052	961	Curmudgeon's Better Half	4.35
17069	978	Curmudgeon's Better Half	4.51
17100	1009	Curmudgeon's Better Half	4.44
17114	1023	Curmudgeon's Better Half	4.41
17156	1065	Curmudgeon's Better Half	4.16
17183	1092	Curmudgeon's Better Half	3.93
17206	1115	Curmudgeon's Better Half	4.25
17222	1131	Curmudgeon's Better Half	4.22
17266	1175	Curmudgeon's Better Half	4.35
17367	1276	Curmudgeon's Better Half	4.21
17408	1317	Curmudgeon's Better Half	4.38
17448	1357	Curmudgeon's Better Half	4.39
17463	1372	Curmudgeon's Better Half	3.92
17482	1391	Curmudgeon's Better Half	4.52
17488	1397	Curmudgeon's Better Half	4.29
17578	1487	Curmudgeon's Better Half	3.17
17589	1498	Curmudgeon's Better Half	4.48
17594	1503	Curmudgeon's Better Half	4.49
17615	1524	Curmudgeon's Better Half	4.34
17618	1527	Curmudgeon's Better Half	4.31
17628	1537	Curmudgeon's Better Half	4.6
17683	1592	Curmudgeon's Better Half	3.96
17684	1593	Curmudgeon's Better Half	4.5
17689	1598	Curmudgeon's Better Half	4.51
17696	1605	Curmudgeon's Better Half	4.44
17719	1628	Curmudgeon's Better Half	4.33
17757	1666	Curmudgeon's Better Half	4.11
17768	1677	Curmudgeon's Better Half	4.24
17781	1690	Curmudgeon's Better Half	4.36
17782	1691	Curmudgeon's Better Half	3.74
17789	1698	Curmudgeon's Better Half	4.41
17800	1709	Curmudgeon's Better Half	4.15
17813	1722	Curmudgeon's Better Half	4.49
17819	1728	Curmudgeon's Better Half	4.25
17837	1746	Curmudgeon's Better Half	4.44
17848	1757	Curmudgeon's Better Half	3.69
17850	1759	Curmudgeon's Better Half	4.25
17895	1804	Curmudgeon's Better Half	4.34
17898	1807	Curmudgeon's Better Half	4.35
17906	1815	Curmudgeon's Better Half	4.25
17938	1847	Curmudgeon's Better Half	4.28
17950	1859	Curmudgeon's Better Half	2.7
17971	1880	Curmudgeon's Better Half	4.85
17992	1901	Curmudgeon's Better Half	4.53
18010	1919	Curmudgeon's Better Half	4.5
18133	2042	Curmudgeon's Better Half	4.35
18136	2045	Curmudgeon's Better Half	4.83
18147	2056	Curmudgeon's Better Half	4.19
18208	2117	Curmudgeon's Better Half	4.27
18255	2164	Curmudgeon's Better Half	4.4
18290	2199	Curmudgeon's Better Half	3.72
18324	2233	Curmudgeon's Better Half	4.1
18381	2290	Curmudgeon's Better Half	4.04
18386	2295	Curmudgeon's Better Half	4.16
18420	2329	Curmudgeon's Better Half	4.37
18428	2337	Curmudgeon's Better Half	5.0
18432	2341	Curmudgeon's Better Half	3.83
18435	2344	Curmudgeon's Better Half	4.16
18460	2369	Curmudgeon's Better Half	4.24
18468	2377	Curmudgeon's Better Half	3.55
18506	2415	Curmudgeon's Better Half	4.38
18508	2417	Curmudgeon's Better Half	4.5
18510	2419	Curmudgeon's Better Half	4.77
18513	2422	Curmudgeon's Better Half	4.75
18529	2438	Curmudgeon's Better Half	4.09
18530	2439	Curmudgeon's Better Half	4.09
18532	2441	Curmudgeon's Better Half	4.29
18540	2449	Curmudgeon's Better Half	4.25
18553	2462	Curmudgeon's Better Half	4.25
18590	2499	Curmudgeon's Better Half	4.23
18598	2507	Curmudgeon's Better Half	4.28
18633	2542	Curmudgeon's Better Half	4.13
18638	2547	Curmudgeon's Better Half	4.74
18640	2549	Curmudgeon's Better Half	4.32
18667	2576	Curmudgeon's Better Half	3.91
18686	2595	Curmudgeon's Better Half	4.12
18703	2612	Curmudgeon's Better Half	4.25
18774	1	DKML	3.94
18943	170	DKML	4.01
19255	482	DKML	4.2
19351	578	DKML	3.99
19491	718	DKML	3.86
19738	965	DKML	3.39
19832	1059	DKML	3.79
19884	1111	DKML	3.73
19893	1120	DKML	3.85
20006	1233	DKML	3.22
20029	1256	DKML	3.81
20164	1391	DKML	4.54
